,name,Length,X1,X2,E,S,L
0,1ucs,64,1277,27.8,-5.2067015523955975,-62.191532210935556,56.984830658539956
1,1utg,70,1392,33.8,2.3370725483293526,-62.3332901592568,64.67036270758615
2,2zeq,78,1519,34.5,-7.3103875108494165,-66.11570356020928,58.80531604935987
3,2uwr,79,1438,33.800000000000004,9.941532543641609,-75.90219301952202,85.84372556316363
4,1gvp,87,1764,40.50000000000001,-0.14552138400498055,-63.846364100063255,63.700842716058276
5,1cdz,96,1856,42.0,-12.815796522832573,-75.01218344541851,62.196386922585944
6,1bm8,99,1938,40.800000000000004,12.18236749749374,-62.165615146990945,74.34798264448469
7,3caf,100,1966,19.999999999999996,32.747339550368615,-150.01514717420875,182.76248672457737
8,1gh2,107,2048,43.900000000000006,8.53019903266709,-62.69547172883421,71.22567076150129
9,1bet,107,2118,45.4,10.86459174124378,-72.90307695167337,83.76766869291716
10,2ppn,107,2111,45.7,-10.361493483816082,-69.61575694687653,59.25426346306045
11,3s0a,119,2321,51.10000000000001,-17.839501240142724,-92.7952861854211,74.95578494527838
12,1buo,121,2286,51.8,12.623783390675715,-77.2203083874887,89.84409177816441
13,1dhn,121,2309,51.800000000000004,-13.092302084266759,-77.24126382119955,64.14896173693279
14,1qto,122,2312,52.300000000000004,-10.423004647567076,-83.40893609154787,72.9859314439808
15,1c44,123,2344,51.300000000000004,-15.273948780144787,-91.37774415699363,76.10379537684884
16,1bgf,124,2272,52.10000000000001,14.17237893274074,-78.65253675915363,92.82491569189438
17,1msc,129,2521,62.4,5.075935019838235,-87.82562716629434,92.90156218613258
18,1bz4,144,2609,57.0,20.162613525234434,-98.9620749123095,119.12468843754394
19,1srv,145,2799,28.999999999999996,32.88900718615077,-200.35357094094266,233.24257812709342
20,4pa1,151,2909,48.5,15.481558787825959,-92.93770487682065,108.4192636646466
21,2ywx,157,2988,65.0,-15.88974060024475,-96.19527920389083,80.30553860364608
22,1emr,159,3077,63.599999999999994,9.218704918716503,-78.38135360914413,87.60005852786063
23,4e2u,168,3366,64.5,28.176757098580644,-81.11847336044966,109.29523045903031
24,1c3g,170,3393,33.99999999999999,64.11723450308928,-237.28272982071854,301.3999643238078
25,1koe,172,3294,41.0,23.105113441674785,-181.97225955595556,205.07737299763033
26,1p7n,176,3315,67.60000000000001,14.258093566115134,-92.8206586113132,107.07875217742834
27,1cdy,178,3521,73.7,-30.86359985212533,-119.70875859723219,88.84515874510686
28,1r8n,185,3671,78.7,-22.411860961294828,-113.82735192928129,91.41549096798647
29,1is1,185,3387,79.30000000000001,-28.175670606136325,-112.13031119465012,83.9546405885138
30,1mf7,194,3708,48.7,44.084396230204725,-170.03247001001805,214.11686624022278
31,3b02,195,3456,79.2,-18.47945915357685,-120.79153755184268,102.31207839826583
32,3sh4,195,3700,77.70000000000002,-24.934733269696306,-112.45620238833999,87.52146911864368
33,1rc9,221,4263,91.0,-19.67431107229039,-124.58435583610697,104.91004476381657
34,1byi,224,4319,89.5,-24.06698883222734,-105.53193243456604,81.4649436023387
35,1scz,233,4521,63.099999999999994,52.72156336448093,-167.63430770669595,220.35587107117686
36,4p9n,304,5876,114.5,32.59686783707569,-99.44851029840424,132.04537813547995
37,2cyg,312,6030,111.9,21.48384330702066,-123.59408871843414,145.0779320254548
38,1cem,363,6976,127.19999999999999,49.96868134574514,-130.76805358907177,180.73673493481692
39,1nd7,374,7248,74.79999999999998,83.18926275559754,-466.9914445515917,550.1807073071892
40,1o5t,378,7276,126.3,72.42611534066532,-136.32532632409982,208.75144166476514
41,3ux1,518,10229,174.10000000000002,59.1282933969778,-184.2330695692085,243.3613629661863
42,1dab,539,10081,206.5,-57.10591744086935,-210.41824454945254,153.3123271085832
43,1cii,602,10759,257.8,33.32860066779377,-150.15509487414283,183.4836955419366
44,4moa,602,12000,228.10000000000002,46.6456981429656,-148.891724473232,195.5374226161976
